Date,Hour,Time(MS),Time From Epoch(S),Sound Velocity(cm/s),Distance(CM),Deltatime(S),Temperature(C),Temperature(F),Humidity(%)
Tue Jan 12 13:48:28 2021,13,72451635,1610488108.76206,34181.520000000004,1202.4112193298342,0.07035446166992188,16,60.8,58
Tue Jan 12 13:48:29 2021,13,72457372,1610488109.3357573,34181.520000000004,1202.2604534053803,0.07034564018249512,16,60.8,58
Tue Jan 12 13:48:29 2021,13,72463108,1610488109.9094172,34181.520000000004,1202.6923774051668,0.07037091255187988,16,60.8,58
Tue Jan 12 13:48:30 2021,13,72471415,1610488110.7400417,34181.520000000004,1202.5945832920077,0.07036519050598145,16,60.8,58
Tue Jan 12 13:48:31 2021,13,72477151,1610488111.313656,34181.520000000004,1202.4519668769838,0.07035684585571289,16,60.8,58
Tue Jan 12 13:48:31 2021,13,72482888,1610488111.8874147,34181.520000000004,1202.4804901599884,0.0703585147857666,16,60.8,58
Tue Jan 12 13:48:32 2021,13,72488640,1610488112.4625738,34181.520000000004,1202.561985254288,0.07036328315734863,16,60.8,58
Tue Jan 12 13:48:33 2021,13,72496944,1610488113.2929296,34181.520000000004,1202.439742612839,0.07035613059997559,16,60.8,58
Tue Jan 12 13:48:33 2021,13,72502680,1610488113.8665538,34181.520000000004,1202.435667858124,0.07035589218139648,16,60.8,58
Tue Jan 12 13:48:34 2021,13,72508417,1610488114.4402645,34181.520000000004,1202.435667858124,0.07035589218139648,16,60.8,58
Tue Jan 12 13:48:35 2021,13,72514154,1610488115.013929,34181.520000000004,1202.5049386882783,0.07035994529724121,16,60.8,58
Tue Jan 12 13:48:35 2021,13,72522460,1610488115.8445961,34181.520000000004,1202.545686235428,0.07036232948303223,16,60.8,58
Tue Jan 12 13:48:36 2021,13,72528196,1610488116.4182034,34181.520000000004,1202.4682658958436,0.0703577995300293,16,60.8,58
Tue Jan 12 13:48:36 2021,13,72533932,1610488116.9917572,34181.520000000004,1202.427518348694,0.07035541534423828,16,60.8,58
Tue Jan 12 13:48:37 2021,13,72539773,1610488117.5759296,34181.520000000004,1202.545686235428,0.07036232948303223,16,60.8,58
Tue Jan 12 13:48:38 2021,13,72548125,1610488118.4110806,34181.520000000004,1202.6190318202973,0.07036662101745605,16,60.8,58
Tue Jan 12 13:48:38 2021,13,72553861,1610488118.9846394,34181.520000000004,1202.537536725998,0.07036185264587402,16,60.8,58
Tue Jan 12 13:48:39 2021,13,72559597,1610488119.558327,34181.520000000004,1202.5253124618532,0.07036113739013672,16,60.8,58
Tue Jan 12 13:48:40 2021,13,72565336,1610488120.1321738,34181.520000000004,1202.415294084549,0.07035470008850098,16,60.8,58
Tue Jan 12 13:48:40 2021,13,72573641,1610488120.962699,34181.520000000004,1202.5823590278626,0.07036447525024414,16,60.8,58
Tue Jan 12 13:48:41 2021,13,72579378,1610488121.5363505,34181.520000000004,1202.5905085372926,0.07036495208740234,16,60.8,58
Tue Jan 12 13:48:42 2021,13,72585115,1610488122.1100526,34181.520000000004,1202.2441543865204,0.07034468650817871,16,60.8,58
Tue Jan 12 13:48:42 2021,13,72590863,1610488122.6848843,34181.520000000004,1202.6394055938722,0.07036781311035156,16,60.8,58
Tue Jan 12 13:48:43 2021,13,72599214,1610488123.5200067,34181.520000000004,1202.6271813297274,0.07036709785461426,16,60.8,58
Tue Jan 12 13:48:44 2021,13,72604951,1610488124.093694,34181.520000000004,1202.561985254288,0.07036328315734863,16,60.8,58
Tue Jan 12 13:48:44 2021,13,72610688,1610488124.6674294,34181.520000000004,1202.6027328014375,0.07036566734313965,16,60.8,58
Tue Jan 12 13:48:45 2021,13,72616427,1610488125.2412837,34181.520000000004,1202.4845649147035,0.0703587532043457,16,60.8,58
